"Summary","Description","Issue Type","Story Points","Original Estimate","Status","Epic Link"
"lgb AD services (essential-6)","lgb-ad-services: corp.jetzero.aero + lgb-dc1 on TCP 53/88/135/389/445/464 + UDP 53/88/389/464.","Story","2","14400","Done","ZPA Application Publishing"
"lgb corp SMB / DFS access","lgb-corp-smb wildcard *.corp.jetzero.aero:445 for DFS file targets + exact lgb-dfs1-smb:445 to un-shadow the DFS namespace server.","Story","3","28800","Done","ZPA Application Publishing"
"Fix LGB-DFS1-RDP static server group binding","LGB-DFS1-RDP was bound to a static server group whose only server was lgb-dc1, so RDP landed on the DC. Rebound to the dynamic server group and added lgb-dfs1's real IP 10.1.130.108.","Bug","3","28800","Done","ZPA Application Publishing"
"Remove non-workable NetBIOS test segment","Confirmed bare NetBIOS \jz is not workable over ZPA (no WINS); removed the test segment and standardized on FQDN DFS paths.","Task","1","7200","Done","ZPA Application Publishing"
"Publish Tier-4 web apps (awg/kol/map/simplerisk)","Web servers awg-web, kol-web, map-web, simplerisk - confirm 80 vs 443 and access group.","Story","3","28800","To Do","ZPA Application Publishing"
"Publish ctb-*-frontend-private internal ALBs","Internal ALBs ctb-*-frontend-private - confirm ports and group.","Story","3","28800","To Do","ZPA Application Publishing"
"Publish misc Tier-4 apps (ports TBD)","Cadenas, capital-essentials, SyndeiaCloudWithRLM, jetzeroteamworkcloud, licproxy, linux0 - confirm ports and group.","Story","5","57600","To Do","ZPA Application Publishing"
"ZPA Access Control & Network Security","Create Entra groups, gate ZPA access to them, and open target security groups to the connector subnets.","Epic","","","In Progress",""
"Create Entra security groups for ZPA access","Created Entra groups zpa-gc-admin (a1fac989-d432-41b2-a5a1-155e18b3ad1f) and zpa-lgb-admin (96e38cc3-e263-4edc-b99f-d26245bd9577); reused existing NX_TC_Security (043c783a-9c23-4aac-8ddb-daf1a16a7d9b) for engineers.","Task","1","7200","Done","ZPA Access Control & Network Security"
"Configure ZPA app groups claim and assign access groups in Entra","Set the Zscaler ZPA Enterprise App groups claim to 'Groups assigned to the application' and assigned NX_TC_Security, zpa-gc-admin, zpa-lgb-admin plus the user population to the app (app assignment gates who can use ZPA at all).","Task","2","14400","Done","ZPA Access Control & Network Security"
"Gate engineers rule to NX_TC_Security","Access rule for gc-engineers gated: APP_GROUP AND SAML groups = NX_TC_Security (043c783a-...).","Story","2","14400","Done","ZPA Access Control & Network Security"
"Gate gc-admin rule to zpa-gc-admin","Access rule for gc-admin gated to Entra group zpa-gc-admin (a1fac989-...).","Story","1","7200","Done","ZPA Access Control & Network Security"
"Gate lgb-admin rule to zpa-lgb-admin","Access rule for lgb-admin gated to Entra group zpa-lgb-admin (96e38cc3-...).","Story","1","7200","Done","ZPA Access Control & Network Security"
"Open TC-VPC engineer server SGs to connector /28s","Added connector-/28 ingress to manual (drift-free) SGs: tc_prod_sg + tc_test_sg (TCP 80/443/3000/4544/8080/3389), tc_license_sg (all TCP+UDP).","Task","2","14400","Done","ZPA Access Control & Network Security"
"Open gc-admin RDP/SSH SGs for remaining servers","Add connector-/28 ingress on 22/3389 to the remaining ~23 gc server SGs (manual ones directly).","Task","3","28800","To Do","ZPA Access Control & Network Security"
"Update CFN-managed web-server SGs in their repos","General-vpc web-server SGs (kol-server, awg-server, simplerisk, boomi-atom-*) are CloudFormation-managed elsewhere; add connector-/28 ingress in those templates to avoid drift.","Task","3","28800","To Do","ZPA Access Control & Network Security"
"ZPA Documentation & Operations","Solution, architecture, and troubleshooting documentation.","Epic","","","In Progress",""
"Solution overview + architecture + app-segments docs","Authoritative docs: solution-overview.md, architecture.md, app-segments.md, deployment.md, decisions.md.","Task","3","28800","Done","ZPA Documentation & Operations"
"Troubleshooting guide (ZPA Access Log method)","troubleshooting.md: read the ZPA Access Log status first; status-code cheat-sheet; the fsxtank0 NO_POLICY_FOUND case study; the three gating conditions.","Task","2","14400","Done","ZPA Documentation & Operations"
